site_name,continent,country,specific_mar_type,soil_class_val,longitude,latitude,optional,soil_grp
Alcalá La Real,Europe,Spain,Infiltration basin,3,-3.92,37.46,TRUE,C
Arve,Europe,Switzerland,Bank filtration,13,6.15,46.18,TRUE,C/D
Prince Albert,Africa,South Africa,Aquifer storage using wells,3,22.029932,-33.222633,TRUE,C
Caiçara,South America,Brasil,Subsurface Dam,3,-40.23522,-9.07306,TRUE,C
City of Pasadena,North America,USA,Aquifer storage and recovery,3,-118.134041,34.154787,TRUE,C
Bergsjön,Europe,Sweden,Infiltration basin,13,14.109,59.309,TRUE,C/D
El Bustan Extension Area,Africa,Egypt,Infiltration basin,3,30.404489,30.38331,TRUE,C
Upland Basin,North America,USA,Infiltration basin,3,-117.694958,34.097915,TRUE,C
North Bend Aquifer ASR,North America,USA,Aquifer storage and recovery,13,-121.788579,47.497748,TRUE,C/D
"First National Bank, 400 S.W. 6th Ave. Branch, Portland3- 4N 4,15",North America,USA,Aquifer storage and recovery,3,-122.6777,45.520505,TRUE,C
Northern Cape,Africa,South Africa,Aquifer storage using wells,2,22,-29.5,TRUE,B
Northwest Hillsborough County Reclaimed Water ASR Project,North America,USA,Aquifer storage and recovery,2,-82.413342,28.059608,TRUE,B
Regent Gardens/ Roy Amer Reserve,Oceania,Australia,Aquifer storage and recovery,3,138.638733,-34.857654,TRUE,C
City of Portland,North America,USA,Aquifer storage and recovery,13,-122.661117,45.525001,TRUE,C/D
Longkou,Asia,China,Subsurface Dam,3,120.575455,37.676739,TRUE,C
Sítio Serra de Campos Novos,South America,Brasil,Subsurface Dam,3,-46.1898,-8.936914,TRUE,C
Plettenberg Bay,Africa,South Africa,Aquifer storage using wells,3,23.350715,-34.060875,TRUE,C
Kladow,Europe,Germany,Bank filtration,2,13.143,52.45,TRUE,B
Valle de las Palmas,North America,Mexico,Infiltration basin,13,-116.622267,32.375639,TRUE,C/D
Santa Rosa ASR,North America,USA,Aquifer storage and recovery,3,-122.7123,38.447247,TRUE,C
Hartfield Park,Oceania,Australia,Aquifer storage and recovery,3,115.997794,-31.99489,TRUE,C
Rokugo basin 4,Asia,Japan,Infiltration basin,3,140.568056,39.424167,TRUE,C
Nainital Lake,Asia,India,Bank filtration,3,79.456136,29.389253,TRUE,C
Barragem do Mundaú,South America,Brasil,Bank filtration,4,-36.4918,-8.9465,TRUE,D
Yamagata-shi,Asia,Japan,Infiltration basin,3,140.360278,38.243889,TRUE,C
Gatton Weir  (Lockyer Valley),Oceania,Australia,Check dam,4,152.256897,-27.560482,TRUE,D
Rio Grande wellfield,North America,USA,Aquifer storage and recovery,2,-74.825394,39.142196,TRUE,B
Auf dem Grind,Europe,Germany,Bank filtration,3,6.69,51.55,TRUE,C
Ladd Building Co.,North America,USA,Aquifer storage and recovery,3,-122.664035,45.52921,TRUE,C
EMBRAPA – Campo experimental da Caatinga BS-3,South America,Brasil,Subsurface Dam,3,-40.327736,-9.067192,TRUE,C
Mini-Anaheim Lake,North America,USA,Infiltration basin,3,-117.843679,33.866518,TRUE,C
Evanston South,Oceania,Australia,Aquifer storage and recovery,3,138.715042,-34.633665,TRUE,C
Pendleton ASR,North America,USA,Aquifer storage and recovery,3,-118.75714,45.666479,TRUE,C
Huangtu Gaoyuan,Asia,China,Infiltration basin,3,107.999626,36.999577,TRUE,C
Whittier Narrows Water Reclamation Plant,North America,USA,Infiltration basin,3,-118.068758,34.032992,TRUE,C
Dagu River,Asia,China,Check dam,13,120.448002,37.045044,TRUE,C/D
Poverty Bay MAR Pilot Project,Oceania,New Zealand,Aquifer storage and recovery,3,177.9196,-38.61037,TRUE,C
Fazenda Várzea Queimada,South America,Brasil,Subsurface Dam,3,-40.08251,-10.47258,TRUE,C
N/A,Asia,China,Subsurface Dam,13,105.124609,37.585192,TRUE,C/D
Jandakot,Oceania,Australia,Aquifer storage and recovery,3,115.8747833,-32.1038159,TRUE,C
Göttwitz,Europe,Germany,Bank filtration,3,12.918,51.254,TRUE,C
Ossendrecht,Europe,Netherlands,Aquifer storage and recovery,2,4.333,51.395,TRUE,B
Summer Rd.,Oceania,Australia,Aquifer storage and recovery,3,138.581709,-34.7473,TRUE,C
College Heights Basins,North America,USA,Infiltration basin,3,-117.696148,34.10363,TRUE,C
Ana Catchment 2,Africa,Kenia,Subsurface Dam,4,37.98888,-1.37143,TRUE,D
Nabeul-Hammamet,Africa,Tunisia,Infiltration basin,3,10.6167,36.4,TRUE,C
Grevie,Europe,Sweden,Infiltration basin,3,13.006,55.605,TRUE,C
Rheintal Grundwasserstrom,Europe,Switzerland,Infiltration basin,3,7.691765,47.5303,TRUE,C
Bear Canyon Recharge Demonstration Project,North America,USA,Check dam,3,-106.557539,35.138383,TRUE,C
Horton Kirby,Europe,United Kingdom,Aquifer storage and recovery,13,0.243673,51.39471,TRUE,C/D
Yokatsu,Asia,Japan,Subsurface Dam,3,127.885021,26.325779,TRUE,C
Yavne-1,Asia,Israel,Infiltration basin,3,34.723755,31.893417,TRUE,C
Yufuhe,Asia,China,Check dam,3,116.862777,36.645926,TRUE,C
Lee County WTP (LC),North America,USA,Aquifer storage and recovery,2,-81.6811111,26.719166,TRUE,B
Guntersblum,Europe,Germany,Bank filtration,13,8.355,49.795,TRUE,C/D
Campo de pozos de La Bomba de Limón,South America,Costa Rica,Bank filtration,3,-83.06382778,9.135663889,TRUE,C
Caloosahatchee River ASR (CRASR),North America,USA,Aquifer storage and recovery,12,-81.557011,26.711697,TRUE,B/D
Cornella,Europe,Spain,Aquifer storage and recovery,3,2.05,41.35,TRUE,C
San Gabriel Canyon Spreading Grounds,North America,USA,Infiltration basin,3,-117.914103,34.15109,TRUE,C
Sítio Serrota,South America,Brasil,Subsurface Dam,3,-37.81138,-6.260875,TRUE,C
Asian Institute of Technology (AIT),Asia,Thailand,Aquifer storage using wells,4,100.601654,14.081453,TRUE,D
Friendship Farm,Asia,China,Aquifer storage and recovery,13,131.810963,46.78169,TRUE,C/D
Dam 9 Geul 1,Europe,Netherlands,Aquifer storage and recovery,2,4.64,52.38,TRUE,B
Matchaponix Brook,North America,USA,Aquifer storage and recovery,12,-74.360276,40.317605,TRUE,B/D
Elst,Europe,Netherlands,Bank filtration,2,5.8461,51.92437,TRUE,B
WW Dollar + WW Hardt,Europe,France,Check dam,3,7.334,47.749,TRUE,C
Hameerpur (Jabar Sagar),Asia,India,Check dam,13,76.195665,27.21825,TRUE,C/D
Gordon Road WWTP,Oceania,Australia,Infiltration basin,3,115.7531894,-32.5078564,TRUE,C
Assentamento Santo Agostinho,South America,Brasil,Subsurface Dam,3,-37.3746,-5.41557,TRUE,C
Valley Boulevard Rubber Dam,North America,USA,Infiltration basin,13,-118.009124,34.049977,TRUE,C/D
Northgate Expansion,Oceania,Australia,Aquifer storage and recovery,3,138.628719,-34.856112,TRUE,C
Grantham Weir  (Lockyer Valley),Oceania,Australia,Check dam,14,152.216674,-27.575796,TRUE,D/D
Tiendweg,Europe,Netherlands,Bank filtration,3,4.684,51.902,TRUE,C
Heihe River,Asia,China,Check dam,13,107.349539,35.213283,TRUE,C/D
"Da Yao Cun, Guangrao Xian",Asia,China,Aquifer storage using wells,13,118.366194,37.108194,TRUE,C/D
Menashe,Asia,Israel,Infiltration basin,13,34.919873,32.460961,TRUE,C/D
Stiepel,Europe,Germany,Bank filtration,13,7.24,51.41,TRUE,C/D
Perth Groundwater Replenishment Scheme Stage 1,Oceania,Australia,Aquifer storage and recovery,3,115.776711,-31.782679,TRUE,C
Mogarala area,Asia,India,Check dam,3,79.043898,13.481932,TRUE,C
Caborca,North America,Mexico,Aquifer storage using wells,4,-112.140627,30.704088,TRUE,D
Fazenda Mandassaia,South America,Brasil,Subsurface Dam,13,-41.16667,-8.65,TRUE,C/D
Boynton Beach,North America,USA,Aquifer storage and recovery,3,-80.062819,26.51377,TRUE,C
"Xi'an, Yanta",Asia,China,Aquifer storage using wells,3,108.984018,34.226908,TRUE,C
"RRS, Sirsa",Asia,India,Aquifer storage and recovery,3,75.017002,29.533176,TRUE,C
Sawpit Spreading Grounds,North America,USA,Infiltration basin,3,-117.990874,34.160229,TRUE,C
"Al Masnaah, Wadi Al Fara",Asia,Oman,Check dam,2,57.675628,23.618534,TRUE,B
Shanghai,Asia,China,Aquifer storage using wells,13,121.452034,31.187937,TRUE,C/D
Brousse-le-Château,Europe,France,Infiltration basin,13,2.625504942,43.99756015,TRUE,C/D
Microbacia do Córrego Fundo,South America,Brasil,Subsurface Dam,3,-47.84705,-7.476338,TRUE,C
Lagoa do CTG,South America,Brasil,Infiltration basin,3,-35.1882,-5.87475,TRUE,C
N/A,Asia,China,Aquifer storage and recovery,13,108.815648,34.275475,TRUE,C/D
Nootdorp,Europe,Netherlands,Aquifer storage and recovery,13,4.396,52.043,TRUE,C/D
EPAGRI – Estação Experimental,South America,Brasil,Bank filtration,4,-49.648521,-27.42058,TRUE,D
N. Lekkerland,Europe,Netherlands,Bank filtration,3,5.18486,51.97304,TRUE,C
Lodhi Garden,Asia,India,Aquifer storage using wells,3,77.219645,28.592926,TRUE,C
"Shunping, Baoding, Hebei",Asia,China,Surface flooding and ditch-and-furrow,3,115.259762,38.895246,TRUE,C
Tumbleweed Park Recharge Facility,North America,USA,Aquifer storage and recovery,3,-111.828048,33.272986,TRUE,C
Schuwacht,Europe,Netherlands,Bank filtration,3,4.642,51.896,TRUE,C
Waalsdorp,Europe,Netherlands,Aquifer storage and recovery,12,4.312,52.097,TRUE,B/D
Hooge Boom,Europe,Netherlands,Bank filtration,3,4.892,52.12,TRUE,C
"Shenbei, Shenyang",Asia,China,Surface flooding and ditch-and-furrow,13,123.414125,42.154363,TRUE,C/D
Santa Anita Spreading Grounds,North America,USA,Infiltration basin,3,-118.021551,34.166973,TRUE,C
Carracillo,Europe,Spain,Surface flooding and ditch-and-furrow,3,-4.36,41.31,TRUE,C
Malham,Asia,Saudi Arabia,Check dam,2,46.240481,25.143502,TRUE,B
Toms River Water Co.,North America,USA,Aquifer storage and recovery,2,-74.186073,39.988363,TRUE,B
WW Halingen-Fröndenberg,Europe,Germany,Bank filtration,13,7.72,51.468,TRUE,C/D
Windhoek,Africa,Namibia,Aquifer storage using wells,3,17.07356,-22.561459,TRUE,C
Monto Weir (Three Moon Creek),Oceania,Australia,Check dam,4,151.10663,-24.858364,TRUE,D
Funxi,Asia,China,Check dam,13,108.73481,34.212734,TRUE,C/D
Ely Basins,North America,USA,Infiltration basin,3,-117.613444,34.034876,TRUE,C
Lujiazui,Asia,China,Aquifer storage using wells,3,121.508677,31.224325,TRUE,C
Ujecie wody Mostowo,Europe,Poland,Bank filtration,2,16.39,54.076,TRUE,B
Rhein,Europe,Germany,Bank filtration,3,6.716645,51.444839,TRUE,C
Grisolles,Europe,France,Infiltration basin,3,1.296667,43.82889,TRUE,C
Watervlak,Europe,Netherlands,Aquifer storage and recovery,2,4.623,52.503,TRUE,B
Middelweg,Europe,Netherlands,Bank filtration,13,4.663,51.885,TRUE,C/D
Sulaibiya SU-10,Asia,Kuwait,Aquifer storage and recovery,3,47.816369,29.282966,TRUE,C
Comunidade Riacho Verde (Owner: Sebastião M. de Lima),South America,Brasil,Subsurface Dam,3,-37.1334,-7.1541,TRUE,C
Cornedo Vicentino A,Europe,Italy,Aquifer storage using wells,13,11.337,45.615,TRUE,C/D
Max Amber Sportsfield/Torrens Valley Sportsfield,Oceania,Australia,Aquifer storage and recovery,3,138.693423,-34.869602,TRUE,C
Bau Noi/Hong Phong,Asia,Vietnam,Bank filtration,3,108.312653,11.051604,TRUE,C
Kaliningrad,Europe,Russian Federation,Bank filtration,3,20.506,54.711,TRUE,C
Rusovce,Europe,Slovakia,Bank filtration,13,17.14485,48.06225,TRUE,C/D
Ma Ma Creek Weir  (Lockyer Valley),Oceania,Australia,Check dam,4,152.161344,-27.656814,TRUE,D
Tsunekami,Asia,Japan,Subsurface Dam,3,135.820499,35.637265,TRUE,C
Gouda,Europe,Netherlands,Infiltration basin,3,4.710388,52.01616,TRUE,C
N/A,Asia,China,Subsurface Dam,3,102.286657,38.476994,TRUE,C
Spandau,Europe,Germany,Bank filtration,2,13.17,52.58,TRUE,B
Dong Zhu Ying Cun Guangrao Xian,Asia,China,Aquifer storage and recovery,3,118.479667,37.039041,TRUE,C
Chesapeake,North America,USA,Aquifer storage and recovery,13,-76.291915,36.738493,TRUE,C/D
Khlidia,Africa,Tunesia,Infiltration basin,3,10.201305,36.623334,TRUE,C
Bhaonta (Sankara),Asia,India,Check dam,3,76.224669,27.328641,TRUE,C
Fazenda Catolé de Queimadas - Dona Dora,South America,Brasil,Subsurface Dam,3,-35.887999,-7.34714,TRUE,C
Assentamento Pedro Henrique - BS-3 (Owner: Fancisco Belchior dos Santos),South America,Brasil,Subsurface Dam,3,-35.75722,-6.78083,TRUE,C
Morphettville Racecourse,Oceania,Australia,Aquifer storage and recovery,3,138.5427889,-34.9780389,TRUE,C
Castricum AIP,Europe,Netherlands,Aquifer storage and recovery,2,4.623889,52.53667,TRUE,B
Aberdeen,North America,USA,Aquifer storage and recovery,12,-74.218067,40.424025,TRUE,B/D
Zhabei Qu,Asia,China,Aquifer storage and recovery,3,121.458563,31.241862,TRUE,C
Hassayampa Recharge Facility,North America,USA,Channel infiltration/spreading,3,-112.698988,33.935532,TRUE,C
Fazenda Queimada dos Loiolas,South America,Brasil,Subsurface Dam,4,-48.916656,-24.0447091,TRUE,D
"Anxin, Baoding",Asia,China,Surface flooding and ditch-and-furrow,13,116.033721,38.960491,TRUE,C/D
Kentville Weir  (Lockyer Valley),Oceania,Australia,Check dam,4,152.437705,-27.492619,TRUE,D
Kuivala,Europe,Finland,Infiltration basin,3,26.92,60.88,TRUE,C
Crezeepolder,Europe,Netherlands,Bank filtration,3,4.641638,51.86178,TRUE,C
South of Lyon,Europe,France,Bank filtration,3,4.8356,45.7684,TRUE,C
Pine Flat,North America,USA,Aquifer storage using wells,3,-121.564956,42.236392,TRUE,C
Gracia-Morenita,Europe,Spain,Aquifer storage and recovery,3,-8.09,42.46,TRUE,C
Área do Instituto de Pesquisas Hidráulicas - UFRGS - Trincheira 1,South America,Brasil,Trenches,13,-51.114595,-30.076102,TRUE,C/D
"Xiongxian, Baoding",Asia,China,Surface flooding and ditch-and-furrow,3,117.02111,36.630317,TRUE,C
Sanjianpu,Asia,China,Subsurface Dam,3,121.286811,38.903652,TRUE,C
Katrineholm,Europe,Sweden,Infiltration basin,3,16.205,58.995,TRUE,C
Little Para Dam,Oceania,Australia,Check dam,3,138.7206319,-34.7537319,TRUE,C
Northwest University,Asia,China,Aquifer storage and recovery,3,108.87438,34.148276,TRUE,C
"Xinshi, Baoding",Asia,China,Surface flooding and ditch-and-furrow,13,115.373177,38.94355,TRUE,C/D
Sunagawa,Asia,Japan,Subsurface Dam,3,125.353333,24.732902,TRUE,C
Munno Para West,Oceania,Australia,Aquifer storage and recovery,3,138.674906,-34.66836,TRUE,C
Madonetta E,Europe,Italy,Aquifer storage using wells,13,11.523,45.698,TRUE,C/D
Höttinger Au,Europe,Austria,Bank filtration,13,11.404,47.269,TRUE,C/D
Buell-Red Prairie AR,North America,USA,Aquifer storage using wells,3,-123.5132,45.001552,TRUE,C
7th and 8th Street Basins,North America,USA,Infiltration basin,3,-117.632777,34.089705,TRUE,C
Ssangcheon,Asia,Korea,Subsurface Dam,3,127.346757,36.638522,TRUE,C
San Gorgonio Pass basins,North America,USA,Infiltration basin,2,-116.972362,33.978323,TRUE,B
Eaton Wash Spreading Grounds,North America,USA,Infiltration basin,3,-118.089032,34.162916,TRUE,C
Scheveningen CIP,Europe,Netherlands,Aquifer storage and recovery,2,4.31,52.125,TRUE,B
La Ligua,South America,Chile,Infiltration basin,3,-71.2325958,-32.4499018,TRUE,C
Peumo Valley,South America,Chile,Channel infiltration/spreading,3,-71.3,-34.05,TRUE,C
N/A,Asia,China,Subsurface Dam,3,102.647167,37.909021,TRUE,C
Engelsche Werk,Europe,Netherlands,Bank filtration,2,6.072,52.499,TRUE,B
Superstition Mountains Recharge Project (SMRP),North America,USA,Infiltration basin,3,-111.500925,33.226945,TRUE,C
Soreq-2,Asia,Israel,Infiltration basin,3,34.76879,31.954099,TRUE,C
3 Ba Li Zhuang Lu Chaoyang Qu,Asia,China,Aquifer storage using wells,3,116.494904,39.913323,TRUE,C
Hancheon,Asia,Korea,Infiltration basin,13,126.524602,33.444757,TRUE,C/D
Beaufort-Jasper Water and Sewer Authority,North America,USA,Aquifer storage and recovery,3,-80.869252,32.365499,TRUE,C
Vierakker,Europe,Netherlands,Bank filtration,12,6.235,52.107,TRUE,B/D
Jordan Valley Water District,North America,USA,Aquifer storage and recovery,3,-111.834448,40.68985,TRUE,C
Druten,Europe,Netherlands,Bank filtration,13,5.608,51.872,TRUE,C/D
Punta Gorda ASR,North America,USA,Aquifer storage and recovery,2,-81.935457,26.973355,TRUE,B
Lopez Spreading Grounds,North America,USA,Infiltration basin,3,-118.414121,34.298245,TRUE,C
Emek Hefer Region,Asia,Israel,Aquifer storage and recovery,13,34.90981,32.375216,TRUE,C/D
Tanuf,Asia,Oman,Check dam,3,57.469183,23.058707,TRUE,C
De Laak,Europe,Netherlands,Bank filtration,13,5.036,51.957,TRUE,C/D
Enschede,Europe,Netherlands,Infiltration basin,2,6.886368,52.22696,TRUE,B
Landskrona,Europe,Sweden,Surface flooding and ditch-and-furrow,3,12.83,55.87,TRUE,C
Callide Dam (Callide Valley),Oceania,Australia,Channel infiltration/spreading,4,150.613771,-24.366833,TRUE,D
Westhofen2,Europe,Germany,Infiltration basin,13,7.5182,51.4157,TRUE,C/D
Jhiri (Amli),Asia,India,Check dam,3,76.219031,27.255127,TRUE,C
Williston,Africa,South Africa,Aquifer storage and recovery,3,21.216791,-31.624083,TRUE,C
Appoigny,Europe,France,Infiltration basin,13,3.527624844,47.87689825,TRUE,C/D
Flammerans,Europe,France,Infiltration basin,3,5.447404674,47.2303313,TRUE,C
Llohué,South America,Chile,Trenches,3,-72.46431222,-36.30344636,TRUE,C
Bolivar,Oceania,Australia,Aquifer storage and recovery,3,138.559448,-34.731404,TRUE,C
Granite Reef Underground Storage Project (GRUSP),North America,USA,Infiltration basin,3,-111.777168,33.491674,TRUE,C
Hengsen,Europe,Germany,Infiltration basin,13,7.63,51.458,TRUE,C/D
Mancha Real,Europe,Spain,Aquifer storage and recovery,3,-3.61,37.79,TRUE,C
"Tacoma Public Utilities Building – 13A1, B1",North America,USA,Aquifer storage and recovery,3,-122.485958,47.227693,TRUE,C
Torgau-Ost,Europe,Germany,Bank filtration,2,13,51.554,TRUE,B
Foothill Municipal Water District,North America,USA,Aquifer storage and recovery,3,-119.733806,34.455083,TRUE,C
Nardò,Europe,Italy,Aquifer storage using wells,3,18.028,40.176,TRUE,C
Fakhrabad,Asia,Iran,Check dam,3,54.345453,31.635948,TRUE,C
"West Coast Telephone Co. building – 31A1,A2",North America,USA,Aquifer storage and recovery,2,-122.221574,47.961856,TRUE,B
City of Lincoln – collector wells,North America,USA,Bank filtration,13,-96.321379,41.056019,TRUE,C/D
Shifosi,Asia,China,Infiltration basin,3,123.343543,42.147266,TRUE,C
Bremerberg dijk,Europe,Netherlands,Bank filtration,2,5.777,52.442,TRUE,B
"Jinshui, Zhengzhou",Asia,China,Infiltration basin,13,113.705344,34.82362,TRUE,C/D
Derby,Europe,United Kingdom,Bank filtration,3,-1.678162,53.19287,TRUE,C
Springfield,North America,USA,Aquifer storage and recovery,13,-123.02081,44.024614,TRUE,C/D
Nong Taphan,Asia,Thailand,Aquifer storage and recovery,3,101.258063,12.753379,TRUE,C
Monteccio Precalcino,Europe,Italy,Aquifer storage using wells,13,11.523,45.698,TRUE,C/D
City of Walla Walla,North America,USA,Aquifer storage and recovery,3,-118.346772,46.061742,TRUE,C
Branford Spreading Basin,North America,USA,Infiltration basin,3,-118.415493,34.230428,TRUE,C
IEUA RP3 Ponds,North America,USA,Infiltration basin,3,-117.475568,34.044332,TRUE,C
Doesburg,Europe,Netherlands,Bank filtration,2,6.134491,52.01511,TRUE,B
Uppsala,Europe,Sweden,Infiltration basin,3,15.974,59.437,TRUE,C
Bacia 1: Rod. Geraldo Silva Nascimento – Instituto Federal Goiano,South America,Brasil,Infiltration basin,4,-48.2269,-17.495,TRUE,D
Satsuma,Oceania,Australia,Aquifer storage and recovery,4,138.717997,-34.781838,TRUE,D
Shougang,Asia,China,Aquifer storage using wells,3,116.264289,40.02154,TRUE,C
Unity Park/Pooraka,Oceania,Australia,Aquifer storage and recovery,3,138.66977,-34.87985,TRUE,C
Madison Farms,North America,USA,Aquifer storage and recovery,3,-119.359432,45.712723,TRUE,C
Nakajima,Asia,Japan,Subsurface Dam,3,132.616781,33.973943,TRUE,C
City of Dallas,North America,USA,Aquifer storage and recovery,3,-123.338634,44.919471,TRUE,C
Wanglanzhuang,Asia,China,Aquifer storage and recovery,3,117.191555,39.053573,TRUE,C
Sedgwick Recharge System,North America,USA,Infiltration basin,3,-97.481024,37.883601,TRUE,C
Kalinkovo,Europe,Slovakia,Bank filtration,3,17.25248,48.0611,TRUE,C
Live Oak Spreading Grounds,North America,USA,Infiltration basin,3,-117.745374,34.121945,TRUE,C
Torreele/St-Andre ́,Europe,Belgium,Infiltration basin,3,5.753059,50.69744,TRUE,C
"Tacoma Savings & Loan Association Building – 4D1,2",North America,USA,Aquifer storage and recovery,3,-122.432237,47.237521,TRUE,C
Les Ansereuilles,Europe,France,Bank filtration,2,2.94616,50.557343,TRUE,B
Richland recharge basins,North America,USA,Infiltration basin,3,-119.264761,46.255101,TRUE,C
Sítio Fazenda Lagoa Comprida,South America,Brasil,Subsurface Dam,4,-40.25,-7.9,TRUE,D
Briesen/Spree,Europe,Germany,Bank filtration,2,14.219,53.305,TRUE,B
San Dimas Canyon Spreading Grounds,North America,USA,Infiltration basin,3,-117.787097,34.129229,TRUE,C
Okinoerabu,Asia,Japan,Subsurface Dam,3,128.605091,27.385016,TRUE,C
Casilla Valverde,Europe,Spain,Aquifer storage and recovery,3,-3.696148,40.53334,TRUE,C
Sítio Fazenda Pitombeira,South America,Brasil,Subsurface Dam,3,-40.25341,-7.57382,TRUE,C
El Señorío,Europe,Spain,Aquifer storage and recovery,3,-4.96,39.49,TRUE,C
Mondragon,Europe,France,Aquifer storage using wells,3,4.713302401,44.23826135,TRUE,C
San Carlos Estates ASR System,North America,USA,Aquifer storage and recovery,2,-81.7736111,26.389166,TRUE,B
Hidango,South America,Chile,Trenches,3,-71.83023593,-34.10332595,TRUE,C
Weinhübel,Europe,Germany,Bank filtration,3,14.986,51.156,TRUE,C
Flins,Europe,France,Bank filtration,3,1.860166,48.98248,TRUE,C
Kabudrahang,Asia,Iran,Check dam,13,48.724458,35.207186,TRUE,C/D
Padipatlabayalu area,Asia,India,Check dam,4,79.020965,13.519922,TRUE,D
Sítio Várzea Comprida,South America,Brasil,Subsurface Dam,4,-48.870614,-24.047689,TRUE,D
Halls Head,Oceania,Australia,Infiltration basin,3,115.690477,-32.540789,TRUE,C
Castle Pines,North America,USA,Aquifer storage and recovery,3,-104.89332,39.468491,TRUE,C
Bay Park Wastewater Treatment Plant,North America,USA,Infiltration basin,12,-73.664929,40.632986,TRUE,B/D
BS-4,South America,Brasil,Subsurface Dam,3,-37.32788,-6.068088,TRUE,C
Hardhof,Europe,Switzerland,Bank filtration,13,8.48,47.401,TRUE,C/D
Birstal,Europe,Switzerland,Aquifer storage and recovery,3,7.591,47.493,TRUE,C
Biarjomand recharge project,Asia,Iran,Check dam,2,55.641625,36.076362,TRUE,B
Witten,Europe,Germany,Infiltration basin,13,7.893202,51.50182,TRUE,C/D
Hyndevad,Europe,Sweden,Infiltration basin,3,16.45,59.323,TRUE,C
Belgrade,Europe,Serbia and Montenegro,Bank filtration,3,20.45654,44.84321,TRUE,C
Sand Hollow Reservoir,North America,USA,Infiltration basin,3,-113.374061,37.11278,TRUE,C
Yavne-3,Asia,Israel,Infiltration basin,3,34.713885,31.853911,TRUE,C
