site_name,continent,country,specific_mar_type,soil_class_val,longitude,latitude,optional,soil_grp
Okseong,Asia,Korea,Subsurface Dam,3,126.833968,35.783484,TRUE,C
Farm,Asia,China,Infiltration basin,13,133.51825,47.588685,TRUE,C/D
Muttenzer Hard,Europe,Switzerland,Surface flooding and ditch-and-furrow,13,7.7,47.532,TRUE,C/D
La atarjea,South America,Peru,Aquifer storage using wells,2,-77.014331,-12.041335,TRUE,B
Paradise Run ASR System,North America,USA,Aquifer storage and recovery,12,-80.960666,27.21813,TRUE,B/D
Petersaue + WW Eich,Europe,Germany,Bank filtration,3,8.264,50.01,TRUE,C
Mosina-Krajkowo,Europe,Poland,Bank filtration,12,16.94246,52.21203,TRUE,B/D
Zandvoort,Europe,Netherlands,Infiltration basin,2,4.548,52.376,TRUE,B
Delray Beach,North America,USA,Aquifer storage and recovery,12,-80.1,26.466666,TRUE,B/D
Ordos Plateau,Asia,China,Infiltration basin,3,109.80943,40.073906,TRUE,C
Camp Peary,North America,USA,Aquifer storage and recovery,3,-76.644654,37.309114,TRUE,C
Barragem subterrânea do Rio Palhano,South America,Brasil,Subsurface Dam,3,-38.5167,-4.91667,TRUE,C
Lohiluoma,Europe,Finland,Bank filtration,3,22.29675,62.54552,TRUE,C
Talbert Gap Seawater Barrier,North America,USA,Aquifer storage using wells,13,-117.967179,33.693905,TRUE,C/D
N/A,Asia,China,Aquifer storage using wells,3,109.80943,40.073906,TRUE,C
Sint Jansklooster,Europe,Netherlands,Bank filtration,2,6.009,52.68,TRUE,B
river Guadalquivir floodplain,Europe,Spain,Surface flooding and ditch-and-furrow,14,-6.18,37.04,TRUE,D/D
Camarillo,North America,USA,Aquifer storage and recovery,3,-119.029333,34.216016,TRUE,C
Forssa,Europe,Finland,Bank filtration,13,23.62099,60.81368,TRUE,C/D
Conceição (Barragem Comunitária Manoel Cândido Sobrinho),South America,Brasil,Subsurface Dam,4,-49.270978,-6.81102,TRUE,D
Kikai,Asia,Japan,Subsurface Dam,3,129.970904,28.321593,TRUE,C
Beenyup/Craigie Groundwater Replenishment Trial,Oceania,Australia,Aquifer storage and recovery,3,115.7780548,-31.7772582,TRUE,C
Lower Santa Cruz River Managed Recharge Project – LSCRMRP,North America,USA,Infiltration basin,13,-111.206253,32.418597,TRUE,C/D
Kiawah Island Utility,North America,USA,Aquifer storage and recovery,3,-80.07201,32.614431,TRUE,C
Kale Khosk,Asia,Iran,Surface flooding and ditch-and-furrow,3,55.490798,36.928119,TRUE,C
Kiindu Dam 4,Africa,Kenia,Subsurface Dam,4,38.00079,-1.45665,TRUE,D
Crépieux-Charmy,Europe,France,Bank filtration,13,4.905,45.797,TRUE,C/D
Miller Basin,North America,USA,Infiltration basin,13,-117.856058,33.864805,TRUE,C/D
Eaton Spreading Basin,North America,USA,Infiltration basin,3,-118.081439,34.123581,TRUE,C
Shanghai,Asia,China,Aquifer storage using wells,13,121.453504,31.238924,TRUE,C/D
Fazenda Queimadas,South America,Brasil,Subsurface Dam,4,-35.872607,-7.347735,TRUE,D
Fazenda Rosário,South America,Brasil,Subsurface Dam,3,-39.0667,-10.11667,TRUE,C
Dyal Water Treatment Plant,North America,USA,Aquifer storage and recovery,2,-80.940653,28.389625,TRUE,B
Mesa Northwest Water Reclamation Plant (NWWRP),North America,USA,Infiltration basin,3,-111.678445,33.42888,TRUE,C
Someren DIZON,Europe,Netherlands,Aquifer storage and recovery,2,5.712,51.385,TRUE,B
Praski 'Gruba Kaska',Europe,Poland,Bank filtration,12,21.0623,52.2238,TRUE,B/D
Tennet Pond Well field,North America,USA,Infiltration basin,12,-74.335355,40.425598,TRUE,B/D
Morroa,South America,Colombia,Aquifer storage using wells,3,-75.307733,9.332193,TRUE,C
Devonshire,North America,USA,Aquifer storage and recovery,3,-74.954357,39.851481,TRUE,C
De Steeg,Europe,Netherlands,Bank filtration,13,4.878,51.932,TRUE,C/D
Siebeneichen,Europe,Germany,Bank filtration,3,13.485,51.149,TRUE,C
Kingswood Golf Club,Oceania,Australia,Aquifer storage and recovery,13,145.118597,-37.9834735,TRUE,C/D
Tolkewitz,Europe,Germany,Bank filtration,3,13.824,51.034,TRUE,C
Dagu River,Asia,China,Surface flooding and ditch-and-furrow,3,116.248785,39.829667,TRUE,C
Arapuá,South America,Brasil,Subsurface Dam,3,-37.21473,-6.34196,TRUE,C
"Cokery Lane, ASR well 11 (Monroe North)",North America,USA,Aquifer storage and recovery,2,-74.95602,39.66401,TRUE,B
Indira Gandhi International Airport,Asia,India,Trenches,3,77.087112,28.558582,TRUE,C
José Brasilino Coelho,South America,Brasil,Subsurface Dam,4,-40.7,-11.46667,TRUE,D
Balsamand Regional Research Station,Asia,India,Aquifer storage and recovery,3,75.490966,29.070696,TRUE,C
BS-3,South America,Brasil,Subsurface Dam,3,-38.32788,-7.068088,TRUE,C
Hochkirchen,Europe,Germany,Bank filtration,3,7.04,51.424,TRUE,C
Solandra,Oceania,Australia,Aquifer storage and recovery,3,138.686308,-34.82274,TRUE,C
Morroa,South America,Colombia,Check dam,3,-75.307733,9.332193,TRUE,C
Ferraro Quarry,Europe,Italy,Infiltration basin,13,11.51734,45.67428,TRUE,C/D
Kaurna Park,Oceania,Australia,Aquifer storage and recovery,3,138.6069616,-34.7389355,TRUE,C
Kiindu Dam 5,Africa,Kenia,Subsurface Dam,4,38.00053,-1.45557,TRUE,D
Västerbotten,Europe,Sweden,Infiltration basin,2,16.516,65.333,TRUE,B
Las Vegas Valley well field,North America,USA,Aquifer storage and recovery,2,-115.252769,36.078198,TRUE,B
"Guangrao, Dongying",Asia,China,Surface flooding and ditch-and-furrow,13,118.484859,37.086911,TRUE,C/D
Shenbagathope,Asia,India,Subsurface Dam,4,79.056774,12.631261,TRUE,D
Central Avra Valley Storage and Recovery Project (CAVSARP),North America,USA,Infiltration basin,3,-111.238615,32.238059,TRUE,C
Udagamandalam (früher: Ootacamund),Asia,India,Subsurface Dam,4,76.699497,11.410759,TRUE,D
Mulgowie Weir  (Lockyer Valley),Oceania,Australia,Check dam,14,152.3724,-27.753397,TRUE,D/D
Jungfernheide,Europe,Germany,Infiltration basin,12,13.25,52.53,TRUE,B/D
Cochrane Park Rehabilitation Project,North America,USA,Infiltration basin,2,-122.610175,46.937199,TRUE,B
Esztergom,Europe,Hungary,Bank filtration,2,6.893921,52.22696,TRUE,B
Daryan Chai,Asia,Iran,Check dam,3,45.604982,38.191138,TRUE,C
La Cabaña bis,Europe,Spain,Aquifer storage and recovery,3,-3.829101,40.419288,TRUE,C
Tampa-Rome Avenue Park (TRAP) ASR,North America,USA,Aquifer storage and recovery,2,-82.479783,28.007244,TRUE,B
Marco Lakes – Expanded – ASR 2,North America,USA,Aquifer storage and recovery,12,-81.69333333,26.065555,TRUE,B/D
El Paso Water Utilities 2 (EPWU),North America,USA,Aquifer storage and recovery,3,-106.364521,31.940272,TRUE,C
City of Oxnard,North America,USA,Aquifer storage and recovery,3,-119.177432,34.204259,TRUE,C
Walnut Spreading Basin,North America,USA,Infiltration basin,3,-117.874651,34.074118,TRUE,C
"Jinxiang, Jining",Asia,China,Surface flooding and ditch-and-furrow,3,116.241001,34.939029,TRUE,C
BS-1,South America,Brasil,Subsurface Dam,3,-40.328,-9.068,TRUE,C
Guadix,Europe,Spain,Infiltration basin,3,-3.14,37.3,TRUE,C
Yavne-4,Asia,Israel,Infiltration basin,3,34.70719,31.84786,TRUE,C
Jokioinen,Europe,Finland,Bank filtration,3,23.5,60.8,TRUE,C
Fazenda Folha Verde,South America,Brasil,Subsurface Dam,3,-40.05,-10.76667,TRUE,C
Baerl,Europe,Germany,Bank filtration,2,6.667,51.486,TRUE,B
"Columbia River High School – 10H1,2",North America,USA,Aquifer storage and recovery,3,-122.677893,45.693975,TRUE,C
Kumbhej,Asia,India,Check dam,4,75.174658,18.311588,TRUE,D
Oaklands Wetland,Oceania,Australia,Aquifer storage and recovery,3,138.5471397,-34.9973769,TRUE,C
Valle de Toluca,North America,Mexico,Aquifer storage using wells,3,-99.6556653,19.2826098,TRUE,C
Sítio Almeida,South America,Brasil,Subsurface Dam,3,-35.90199,-7.13384,TRUE,C
Ban Nong Na (Nong Kula) 1,Asia,Thailand,Infiltration basin,13,99.999297,16.646433,TRUE,C/D
Kolff,Europe,Netherlands,Bank filtration,13,5.249,51.829,TRUE,C/D
"Sindos, Giannitsa Plain",Europe,Greece,Aquifer storage and recovery,3,22.8,40.67,TRUE,C
Clarendon Dam (Lockyer Valley),Oceania,Australia,Check dam,4,152.3359946,-27.4975507,TRUE,D
Cubeta de Santiuste de San Juan Bautista,Europe,Spain,Infiltration basin,3,-4.57,41.08,TRUE,C
Solleveld,Europe,Netherlands,Infiltration basin,14,4.854,52.052,TRUE,D/D
Huangshuihe Underground dam,Asia,China,Subsurface Dam,13,120.522914,37.740275,TRUE,C/D
Aguascalientes,North America,Mexico,Aquifer storage using wells,4,-102.293428,21.890999,TRUE,D
Dordrecht,Europe,Netherlands,Bank filtration,13,4.665756,51.8188,TRUE,C/D
Nitata (Bhoja Kala),Asia,India,Check dam,13,76.201294,27.140253,TRUE,C/D
Salem,North America,USA,Aquifer storage and recovery,13,-123.037606,44.888739,TRUE,C/D
Adelaide Airport,Oceania,Australia,Aquifer storage and recovery,3,138.535684,-34.9534022,TRUE,C
Hillsboro ASR System (HASR),North America,USA,Aquifer storage and recovery,3,-80.295232,26.355307,TRUE,C
Valle de Santiago/ Río del Maipo,South America,Chile,Infiltration basin,3,-70.666667,-33.45,TRUE,C
Universidade Federal de São Carlos (UFSCar),South America,Brasil,Trenches,4,-47.8805,-21.978339,TRUE,D
De Hoorn,Europe,Netherlands,Bank filtration,13,4.625,52.133,TRUE,C/D
EMBRAPA – Campo experimental da Caatinga BS-2,South America,Brasil,Subsurface Dam,3,-40.32788,-9.068088,TRUE,C
Wanglong Farm 2,Asia,Taiwan,Infiltration basin,3,120.619761,22.52619,TRUE,C
"Haidian, Peking",Asia,China,Aquifer storage using wells,3,116.319983,39.966394,TRUE,C
Capdenac-Gare,Europe,France,Bank filtration,13,2.082,44.582,TRUE,C/D
Foissac,Europe,France,Infiltration basin,3,2.00351198,44.51086704,TRUE,C
Muklan,Asia,India,Aquifer storage and recovery,13,75.659481,29.068497,TRUE,C/D
Tiel,Europe,Netherlands,Bank filtration,2,5.435,51.89,TRUE,B
Shigaya well field C-105,Asia,Kuwait,Aquifer storage and recovery,2,47.246907,29.102865,TRUE,B
East Meadow – wells,North America,USA,Aquifer storage and recovery,2,-73.559328,40.711222,TRUE,B
Tongzhou,Asia,China,Surface flooding and ditch-and-furrow,13,116.713155,40.1139,TRUE,C/D
La Mitidja Basins,Africa,Algeria,Infiltration basin,3,3.065827,36.520013,TRUE,C
Corkscrew – Expanded – 5 ASR wells (ASR-1 to ASR-5),North America,USA,Aquifer storage and recovery,2,-81.704603,26.46339,TRUE,B
WW Flehe + WW Staad + WW Holthausen,Europe,Germany,Bank filtration,13,6.73,51.295,TRUE,C/D
Xi'an University of Science and Technology,Asia,China,Aquifer storage and recovery,3,108.984051,34.226901,TRUE,C
Sar-chahan,Asia,Iran,Surface flooding and ditch-and-furrow,3,55.877645,28.061395,TRUE,C
Tonami (Yasukawa),Asia,Japan,Infiltration basin,13,137.004001,36.625676,TRUE,C/D
Corkscrew – 2 ASR wells (ASR-1 LM-3982; ASR-2 LM-4267),North America,USA,Aquifer storage and recovery,2,-81.704603,26.46339,TRUE,B
Brigham City,North America,USA,Aquifer storage and recovery,3,-112.031203,41.50756,TRUE,C
ASR Phase II site,North America,USA,Aquifer storage and recovery,3,-79.941536,32.775841,TRUE,C
Fairbairn Dam,Oceania,Australia,Check dam,14,147.9385056,-23.6945582,TRUE,D/D
Thompson Creek Spreading Grounds,North America,USA,Check dam,3,-117.710946,34.13933,TRUE,C
Scheveningen DIP,Europe,Netherlands,Aquifer storage and recovery,2,4.31,52.125,TRUE,B
Ergste,Europe,Germany,Bank filtration,3,7.63,51.46,TRUE,C
Kaifeng,Asia,China,Aquifer storage using wells,13,114.275198,34.790017,TRUE,C/D
Valle Aconcagua Dren las Vegas,South America,Chile,Infiltration basin,13,-71.01150513,-32.83676027,TRUE,C/D
Nieuwe Marktstraat,Europe,Netherlands,Bank filtration,2,5.855,51.847,TRUE,B
Chikhalgaon,Asia,India,Check dam,14,73.576591,18.565496,TRUE,D/D
"Medical-Dental Bldg. - 4A2,3",North America,USA,Aquifer storage and recovery,3,-122.684149,45.518723,TRUE,C
Varamin,Asia,Iran,Check dam,3,51.733348,35.399904,TRUE,C
Gaobeidian WWTP,Asia,China,Infiltration basin,13,116.526057,39.895632,TRUE,C/D
Aquífero Cauê – Área de influência Apolo,South America,Brasil,Infiltration basin,13,-63.6,-7.78,TRUE,C/D
N/A,Asia,China,Infiltration basin,3,111.268567,34.186181,TRUE,C
Charles M. Bolton well field,North America,USA,Bank filtration,13,-84.620627,39.318151,TRUE,C/D
Ben Sergao,Africa,Morocco,Infiltration basin,3,-9.596897,30.333874,TRUE,C
Oregonian Bldg. - 3E2,North America,USA,Aquifer storage and recovery,3,-122.681874,45.514848,TRUE,C
Bangpoon,Asia,Thailand,Aquifer storage using wells,14,100.573651,13.999498,TRUE,D/D
Bazley Weir (Three Moon Creek),Oceania,Australia,Check dam,14,151.123261,-24.893695,TRUE,D/D
Parafield Airport – ASR,Oceania,Australia,Aquifer storage and recovery,4,138.6222026,-34.7935429,TRUE,D
5 Wang Zhuang Lu,Asia,China,Aquifer storage using wells,3,116.338755,39.99876,TRUE,C
Jeffara Plain,Africa,Tunisia,Aquifer storage using wells,2,10.36589,33.423801,TRUE,B
Ica-Villacuri-Lanchas,South America,Peru,Infiltration basin,3,-75.72967,-14.049871,TRUE,C
Kitui District,Africa,Kenia,Sand Dams,4,38.00394,-1.46194,TRUE,D
Fazenda Belmonte,South America,Brasil,Subsurface Dam,14,-48.883994,-24.0493718,TRUE,D/D
Sangapur,Asia,India,Check dam,4,78.658174,17.821119,TRUE,D
Baker City,North America,USA,Aquifer storage and recovery,3,-117.858341,44.766666,TRUE,C
"Equitable Bldg. – 34N3,4,5",North America,USA,Aquifer storage and recovery,3,-122.67799,45.520576,TRUE,C
Kinchant Dam,Oceania,Australia,Check dam,14,148.893793,-21.1971234,TRUE,D/D
Namsong,Asia,Korea,Subsurface Dam,13,126.912159,34.57321,TRUE,C/D
CE Caatinga BS IV,South America,Brasil,Subsurface Dam,13,-37.959114,-6.803995,TRUE,C/D
Vergel,Europe,Spain,Aquifer storage and recovery,3,0,38.84,TRUE,C
Wabash River - Indiana–American Water Company,North America,USA,Bank filtration,3,-87.418028,39.476635,TRUE,C
The Dalles,North America,USA,Aquifer storage and recovery,3,-121.181414,45.597531,TRUE,C
Deep run lagoon,North America,USA,Infiltration basin,12,-74.309219,40.385622,TRUE,B/D
Zhaoyuan,Asia,China,Aquifer storage and recovery,3,120.345108,37.380946,TRUE,C
river Oja,Europe,Spain,Infiltration basin,13,-2.91,42.57,TRUE,C/D
Declez Basin,North America,USA,Infiltration basin,3,-117.500702,34.031898,TRUE,C
Gully Winds,Oceania,Australia,Aquifer storage and recovery,3,138.7540464,-34.568604,TRUE,C
Sur 2,Asia,Oman,Check dam,2,59.338049,22.461952,TRUE,B
ASR Pilot Study site,North America,USA,Aquifer storage and recovery,3,-79.970003,32.776973,TRUE,C
Xi'an,Asia,China,Aquifer storage using wells,3,108.92807,34.180459,TRUE,C
Grand Strand Water and Sewer Authority,North America,USA,Aquifer storage and recovery,3,-79.024041,33.782414,TRUE,C
City of Beaverton ASR Project,North America,USA,Aquifer storage and recovery,3,-122.815834,45.463481,TRUE,C
Sítio Estação Ecológica UFMG,South America,Brasil,Trenches,4,-43.975012,-19.88307,TRUE,D
C. Rodenhuis,Europe,Netherlands,Bank filtration,13,4.775,51.936,TRUE,C/D
Nieuwegein,Europe,Netherlands,Aquifer storage and recovery,12,5.094,52.032,TRUE,B/D
Dösebacke,Europe,Sweden,Infiltration basin,3,16.3169,56.6735,TRUE,C
Ixtapaluca (Parque Ejidal los Depósitos),North America,Mexico,Infiltration basin,3,-98.843104,19.324525,TRUE,C
Lalpura (Koda Wala),Asia,India,Check dam,3,76.163959,27.264041,TRUE,C
Fazenda Baixa Verde,South America,Brasil,Subsurface Dam,4,-44.7091,-8.916656,TRUE,D
Böckinger Wiesen,Europe,Germany,Infiltration basin,3,9.165,49.129,TRUE,C
Makauri Aquifer Managed Aquifer Recharge Trial,Oceania,New Zealand,Aquifer storage and recovery,3,177.9196,-38.61044,TRUE,C
Blagnac,Europe,France,Infiltration basin,3,1.389836355,43.63602113,TRUE,C
Schmarsow,Europe,Germany,Bank filtration,12,13.929,53.47,TRUE,B/D
Jäniksenlinna,Europe,Finland,Infiltration basin,3,24.965,60.49,TRUE,C
Tiefwerder,Europe,Germany,Bank filtration,2,13.22,52.52,TRUE,B
Warruwi,Oceania,Australia,Aquifer storage and recovery,3,133.377581,-11.662803,TRUE,C
Seminole-Brighton,North America,USA,Aquifer storage and recovery,12,-81.118072,27.078492,TRUE,B/D
Riku,Europe,Finland,Bank filtration,3,24.072,61.464,TRUE,C
Oakes - Large Recharge Test Basin,North America,USA,Infiltration basin,3,-98.094266,46.126103,TRUE,C
Eksjö,Europe,Sweden,Infiltration basin,2,14.995,57.66,TRUE,B
Samorin,Europe,Slovakia,Bank filtration,3,17.31445,48.03218,TRUE,C
Abu Rawash,Africa,Egypt,Infiltration basin,3,31.236138,29.677871,TRUE,C
Oakes – recharge test 1 & 2,North America,USA,Infiltration basin,3,-98.094266,46.126103,TRUE,C
HuaiHai Lu DongDuan,Asia,China,Aquifer storage and recovery,3,121.479031,31.224633,TRUE,C
Hermanus,Africa,South Africa,Subsurface Dam,3,19.234465,-34.418697,TRUE,C
North London Artificial Recharge Scheme (NLARS),Europe,United Kingdom,Bank filtration,3,-0.398229,51.670883,TRUE,C
Fazenda Rompe,South America,Brasil,Subsurface Dam,3,-40.2333,-11.46667,TRUE,C
Neckaraue,Europe,Germany,Infiltration basin,3,9.118,48.693,TRUE,C
Leiduin IP1-2,Europe,Netherlands,Aquifer storage and recovery,14,5,52,TRUE,D/D
"Bayizhen,",Asia,China,Infiltration basin,13,123.297754,41.618709,TRUE,C/D
Caddadup WWTP,Oceania,Australia,Infiltration basin,3,115.631538,-32.616839,TRUE,C
Louisville Riverbank Filtration,North America,USA,Bank filtration,3,-85.62856,38.35937,TRUE,C
Edwards Aquifer Authority Recharge Program,North America,USA,Check dam,3,-98.516913,29.468326,TRUE,C
CE Caatinga BS II,South America,Brasil,Subsurface Dam,3,-38.959114,-7.803995,TRUE,C
Edinburgh Park South,Oceania,Australia,Aquifer storage and recovery,3,138.650778,-34.707798,TRUE,C
Ijsselstein,Europe,Netherlands,Bank filtration,2,5.040665,52.02166,TRUE,B
Siegniederung,Europe,Germany,Bank filtration,3,7.207,50.8,TRUE,C
City of North Las Vegas,North America,USA,Aquifer storage and recovery,3,-115.110595,36.244993,TRUE,C
Mulgildie Weir (Three Moon Creek),Oceania,Australia,Check dam,14,151.092984,-25.0189,TRUE,D/D
N/A,Asia,China,Infiltration basin,3,109.80943,40.073906,TRUE,C
Globe Derby Park,Oceania,Australia,Aquifer storage and recovery,3,138.5910467,-34.7946624,TRUE,C
Carpendale Weir  (Lockyer Valley),Oceania,Australia,Check dam,14,152.156704,-27.571747,TRUE,D/D
Ketwig,Europe,Germany,Infiltration basin,13,6.929,51.364,TRUE,C/D
Southern Avra Valley Storage and Recovery Project (SAVSARP),North America,USA,Infiltration basin,3,-111.224246,32.176115,TRUE,C
Barka,Asia,Oman,Check dam,2,57.92953,23.59447,TRUE,B
Oued Besbes,Africa,Algeria,Aquifer storage using wells,2,5.756197,34.900454,TRUE,B
ETE Ponta Negra,South America,Brasil,Surface flooding and ditch-and-furrow,3,-35.178925,-5.898202,TRUE,C
Leersum,Europe,Netherlands,Bank filtration,2,5.429,52.012,TRUE,B
Etiwanda Spreading Area (Joint Use of Etiwanda Debris Basin),North America,USA,Infiltration basin,3,-117.508836,34.152802,TRUE,C
Sítio Tanquinho,South America,Brasil,Subsurface Dam,4,-49.270172,-25.078805,TRUE,D
Hitdorf + WW Süd,Europe,Germany,Bank filtration,13,6.987,51.044,TRUE,C/D
Hazerswoude,Europe,Netherlands,Bank filtration,3,28.18268,61.00975,TRUE,C
St. Elizabeth Church,Oceania,Australia,Aquifer storage and recovery,3,138.542125,-35.010864,TRUE,C
Kale Zardabe,Asia,Iran,Surface flooding and ditch-and-furrow,3,55.474394,36.900281,TRUE,C
Toushka Khoure,Africa,Egypt,Infiltration basin,1,31.62777777,22.4222222,TRUE,A
Urrbrae wetland,Oceania,Australia,Aquifer storage and recovery,3,138.619545,-34.966084,TRUE,C
Victor Valley Water District,North America,USA,Aquifer storage and recovery,2,-117.296367,34.529969,TRUE,B
Xi'an Engineering Technology College,Asia,China,Aquifer storage and recovery,3,108.993197,34.251779,TRUE,C
Jianye,Asia,China,Aquifer storage using wells,13,118.706239,32.031431,TRUE,C/D
Los Sotillos,Europe,Spain,Aquifer storage using wells,3,-5.83,36.84,TRUE,C
Mirrabooka,Oceania,Australia,Aquifer storage and recovery,3,115.8444068,-31.8456061,TRUE,C
Sant Vicenç dels Horts,Europe,Spain,Infiltration basin,3,2.02,43.38,TRUE,C
Michael Okpara University of Agriculture,Africa,Nigeria,Aquifer storage using wells,3,7.545783,5.480602,TRUE,C
Dongling,Asia,China,Infiltration basin,13,123.454993,41.713939,TRUE,C/D
Área da Agrishow,South America,Brasil,Subsurface Dam,3,-40.959114,-9.803995,TRUE,C
Stammheim Nord / Süd,Europe,Germany,Bank filtration,3,9.151,48.844,TRUE,C
Khoudh Dam,Asia,Oman,Check dam,3,58.165473,23.628847,TRUE,C
Ridge Park,Oceania,Australia,Aquifer storage and recovery,3,138.640454,-34.9603666,TRUE,C
Sítio Parque Lagoa do Nado (1 e 2),South America,Brasil,Trenches,14,-43.956758,-19.84175,TRUE,D/D
Lagoa de Infiltração Cidade Jardim,South America,Brasil,Infiltration basin,3,-35.202974,-5.846633,TRUE,C
Wohler Riverbank Filtration site,North America,USA,Bank filtration,3,-122.88234,38.51045,TRUE,C
Sliedrecht,Europe,Netherlands,Bank filtration,3,4.773,51.825,TRUE,C
Avis Weir (Three Moon Creek),Oceania,Australia,Check dam,14,151.123473,-24.979351,TRUE,D/D
Bonneville Power Administration,North America,USA,Aquifer storage using wells,2,-122.097433,47.922272,TRUE,B
City of Yakima,North America,USA,Aquifer storage and recovery,3,-120.526976,46.599605,TRUE,C
Ujecie Polnoc,Europe,Poland,Bank filtration,3,21.01,52.23,TRUE,C
Garzweiler,Europe,Germany,Aquifer storage and recovery,2,6.44,51.17,TRUE,B
Nuestra Señora de Fátima,South America,Argentina,Check dam,3,-66.32171631,-30.35154626,TRUE,C
Brenta Ramp,Europe,Italy,Subsurface Dam,3,11.6934,45.7214,TRUE,C
Pima Mine Road Recharge Project (PMRRP),North America,USA,Infiltration basin,3,-110.958278,32.016369,TRUE,C
Wang He Zhuang Zi Cun,Asia,China,Subsurface Dam,13,120.172658,37.241307,TRUE,C/D
Budhshelly,Asia,India,Aquifer storage and recovery,3,75.578256,28.811682,TRUE,C
West Well Field,North America,USA,Aquifer storage and recovery,13,-80.461394,25.739801,TRUE,C/D
Diamond Creek well,North America,USA,Aquifer storage and recovery,13,-121.335994,38.805949,TRUE,C/D
Scottsdale Water Campus,North America,USA,Aquifer storage and recovery,3,-111.892772,33.659395,TRUE,C
Lübbenau,Europe,Germany,Bank filtration,12,13.932,51.868,TRUE,B/D
Sítio Santo Antônio – Distrito de Capim,South America,Brasil,Subsurface Dam,13,-40.23717,-9.8731,TRUE,C/D
Oakes – Small Recharge Test Basin,North America,USA,Infiltration basin,3,-98.093011,46.125,TRUE,C
Benrath,Europe,Germany,Bank filtration,13,6.84,51.16,TRUE,C/D
Senbaru,Asia,Japan,Subsurface Dam,3,127.763829,26.249964,TRUE,C
Balisha River,Asia,China,Subsurface Dam,3,116.984759,40.426251,TRUE,C
East Meadow – basins,North America,USA,Infiltration basin,2,-73.559328,40.711222,TRUE,B
