Site name,Continent,Country,Latitude,Longitude,MAR type,Influent type,Climate
Farm,Asia,China,47.588685,133.51825,Infiltration basin,Storm water,Dry sub-humid
Muttenzer Hard,Europe,Switzerland,47.532,7.7,Surface flooding and ditch-and-furrow,River water,Humid
Paradise Run ASR System,North America,USA,27.21813,-80.960666,Aquifer storage and recovery,River water,Humid
Petersaue + WW Eich,Europe,Germany,50.01,8.264,Bank filtration,River water,Humid
Mosina-Krajkowo,Europe,Poland,52.21203,16.94246,Bank filtration,River water,Humid
Luohe ASR,Asia,China,34.669067,112.479196,Check dam,River water,Dry sub-humid
Delray Beach,North America,USA,26.466666,-80.1,Aquifer storage and recovery,Reclaimed wastewater,Humid
Ordos Plateau,Asia,China,40.073906,109.80943,Infiltration basin,River water,Semi-arid
Barragem subterrânea do Rio Palhano,South America,Brasil,-4.91667,-38.5167,Subsurface Dam,River water,Humid
Lohiluoma,Europe,Finland,62.54552,22.29675,Bank filtration,River water,Humid
Schaffhausen,Europe,Switzerland,47.693,8.63,Bank filtration,River water,Humid
Talbert Gap Seawater Barrier,North America,USA,33.693905,-117.967179,Aquifer storage using wells,Reclaimed wastewater,Semi-arid
N/A,Asia,China,40.073906,109.80943,Aquifer storage using wells,River water,Semi-arid
Sint Jansklooster,Europe,Netherlands,52.68,6.009,Bank filtration,Lake water,Humid
river Guadalquivir floodplain,Europe,Spain,37.04,-6.18,Surface flooding and ditch-and-furrow,River water,Dry sub-humid
Camarillo,North America,USA,34.216016,-119.029333,Aquifer storage and recovery,River water,Semi-arid
Forssa,Europe,Finland,60.81368,23.62099,Bank filtration,Lake water,Humid
Conceição (Barragem Comunitária Manoel Cândido Sobrinho),South America,Brasil,-6.81102,-49.270978,Subsurface Dam,Storm water,Humid
Kikai,Asia,Japan,28.321593,129.970904,Subsurface Dam,Groundwater,Humid
Beenyup/Craigie Groundwater Replenishment Trial,Oceania,Australia,-31.7772582,115.7780548,Aquifer storage and recovery,Reclaimed wastewater,Dry sub-humid
Lower Santa Cruz River Managed Recharge Project – LSCRMRP,North America,USA,32.418597,-111.206253,Infiltration basin,River water,Dry sub-humid
Kale Khosk,Asia,Iran,36.928119,55.490798,Surface flooding and ditch-and-furrow,Storm water,Semi-arid
Tummalur Chevaru,Asia,India,17.15206,78.45741,Check dam,River water,Dry sub-humid
Nizamuddin East Colony,Asia,India,28.589929,77.250827,Rooftop Rainwater Harvesting,Storm water,Humid
Kiindu Dam 4,Africa,Kenia,-1.45665,38.00079,Subsurface Dam,River water,Semi-arid
Cre?pieux-Charmy,Europe,France,45.797,4.905,Bank filtration,River water,Humid
Miller Basin,North America,USA,33.864805,-117.856058,Infiltration basin,River water,Semi-arid
Eaton Spreading Basin,North America,USA,34.123581,-118.081439,Infiltration basin,River water,Semi-arid
Fazenda Queimadas,South America,Brasil,-7.347735,-35.872607,Subsurface Dam,River water,Semi-arid
Fazenda Rosário,South America,Brasil,-10.11667,-39.0667,Subsurface Dam,River water,Dry sub-humid
Mesa Northwest Water Reclamation Plant (NWWRP),North America,USA,33.42888,-111.678445,Infiltration basin,Reclaimed wastewater,Semi-arid
Someren DIZON,Europe,Netherlands,51.385,5.712,Aquifer storage and recovery,River water,Humid
Praski 'Gruba Kaska',Europe,Poland,52.2238,21.0623,Bank filtration,River water,Humid
Tennet Pond Well field,North America,USA,40.425598,-74.335355,Infiltration basin,River water,Humid
Morroa,South America,Colombia,9.332193,-75.307733,Aquifer storage using wells,Storm water,Humid
De Steeg,Europe,Netherlands,51.932,4.878,Bank filtration,River water,Humid
Siebeneichen,Europe,Germany,51.149,13.485,Bank filtration,River water,Humid
Kingswood Golf Club,Oceania,Australia,-37.9834735,145.118597,Aquifer storage and recovery,Storm water,Humid
Jinan,Asia,China,36.611064,116.962778,Rooftop Rainwater Harvesting,Storm water,Dry sub-humid
Tolkewitz,Europe,Germany,51.034,13.824,Bank filtration,River water,Humid
Dagu River,Asia,China,39.829667,116.248785,Surface flooding and ditch-and-furrow,River water,Semi-arid
Arapuá,South America,Brasil,-6.34196,-37.21473,Subsurface Dam,Storm water,Dry sub-humid
University of Jinan,Asia,China,36.616178,116.965843,Rooftop Rainwater Harvesting,Storm water,Dry sub-humid
Indira Gandhi International Airport,Asia,India,28.558582,77.087112,Trenches,Storm water,Humid
José Brasilino Coelho,South America,Brasil,-11.46667,-40.7,Subsurface Dam,River water,Dry sub-humid
Balsamand Regional Research Station,Asia,India,29.070696,75.490966,Aquifer storage and recovery,River water,Semi-arid
BS-3,South America,Brasil,-7.068088,-38.32788,Subsurface Dam,Storm water,Dry sub-humid
Hochkirchen,Europe,Germany,51.424,7.04,Bank filtration,River water,Humid
Solandra,Oceania,Australia,-34.82274,138.686308,Aquifer storage and recovery,Storm water,Semi-arid
Morroa,South America,Colombia,9.332193,-75.307733,Check dam,Storm water,Humid
Ford Foundation,Asia,India,28.592755,77.22261,Rooftop Rainwater Harvesting,Storm water,Humid
Ferraro Quarry,Europe,Italy,45.67428,11.51734,Infiltration basin,River water,Humid
Kiindu Dam 5,Africa,Kenia,-1.45557,38.00053,Subsurface Dam,River water,Semi-arid
Va?sterbotten,Europe,Sweden,65.333,16.516,Infiltration basin,Lake water,Humid
Las Vegas Valley well field,North America,USA,36.078198,-115.252769,Aquifer storage and recovery,Lake water,Semi-arid
"Guangrao, Dongying",Asia,China,37.086911,118.484859,Surface flooding and ditch-and-furrow,River water,Dry sub-humid
Shenbagathope,Asia,India,12.631261,79.056774,Subsurface Dam,Groundwater,Dry sub-humid
Central Avra Valley Storage and Recovery Project (CAVSARP),North America,USA,32.238059,-111.238615,Infiltration basin,River water,Dry sub-humid
Udagamandalam (früher: Ootacamund),Asia,India,11.410759,76.699497,Subsurface Dam,Groundwater,Dry sub-humid
Mulgowie Weir  (Lockyer Valley),Oceania,Australia,-27.753397,152.3724,Check dam,River water,Humid
Jungfernheide,Europe,Germany,52.53,13.25,Infiltration basin,River water,Humid
Cochrane Park Rehabilitation Project,North America,USA,46.937199,-122.610175,Infiltration basin,Reclaimed wastewater,Humid
Esztergom,Europe,Hungary,52.22696,6.893921,Bank filtration,River water,Humid
Daryan Chai,Asia,Iran,38.191138,45.604982,Check dam,River water,Semi-arid
Marco Lakes – Expanded – ASR 2,North America,USA,26.065555,-81.69333333,Aquifer storage and recovery,Lake water,Humid
El Paso Water Utilities 2 (EPWU),North America,USA,31.940272,-106.364521,Aquifer storage and recovery,Reclaimed wastewater,Semi-arid
Walnut Spreading Basin,North America,USA,34.074118,-117.874651,Infiltration basin,Lake water,Semi-arid
Ringdijk,Europe,Netherlands,51.82,4.659,Bank filtration,River water,Humid
"Jinxiang, Jining",Asia,China,34.939029,116.241001,Surface flooding and ditch-and-furrow,River water,Dry sub-humid
Queen Elizabeth Olympic Park,Asia,China,51.543198,-0.012311,Rooftop Rainwater Harvesting,Storm water,Humid
BS-1,South America,Brasil,-9.068,-40.328,Subsurface Dam,Storm water,Semi-arid
Guadix,Europe,Spain,37.3,-3.14,Infiltration basin,Groundwater,Dry sub-humid
Indian Spinal Injuries Centre,Asia,India,28.532686,77.141672,Rooftop Rainwater Harvesting,Storm water,Humid
Yavne-4,Asia,Israel,31.84786,34.70719,Infiltration basin,Reclaimed wastewater,Semi-arid
Jokioinen,Europe,Finland,60.8,23.5,Bank filtration,Lake water,Humid
Fazenda Folha Verde,South America,Brasil,-10.76667,-40.05,Subsurface Dam,River water,Dry sub-humid
Baerl,Europe,Germany,51.486,6.667,Bank filtration,River water,Humid
"Columbia River High School – 10H1,2",North America,USA,45.693975,-122.677893,Aquifer storage and recovery,Groundwater,Humid
Kumbhej,Asia,India,18.311588,75.174658,Check dam,River water,Humid
Valle de Toluca,North America,Mexico,19.2826098,-99.6556653,Aquifer storage using wells,Reclaimed wastewater,Dry sub-humid
Sítio Almeida,South America,Brasil,-7.13384,-35.90199,Subsurface Dam,River water,Dry sub-humid
Ban Nong Na (Nong Kula) 1,Asia,Thailand,16.646433,99.999297,Infiltration basin,River water,Humid
Kolff,Europe,Netherlands,51.829,5.249,Bank filtration,River water,Humid
"Sindos, Giannitsa Plain",Europe,Greece,40.67,22.8,Aquifer storage and recovery,Reclaimed wastewater,Semi-arid
Clarendon Dam (Lockyer Valley),Oceania,Australia,-27.4975507,152.3359946,Check dam,River water,Humid
Cubeta de Santiuste de San Juan Bautista,Europe,Spain,41.08,-4.57,Infiltration basin,River water,Humid
Solleveld,Europe,Netherlands,52.052,4.854,Infiltration basin,River water,Humid
Aguascalientes,North America,Mexico,21.890999,-102.293428,Aquifer storage using wells,Reclaimed wastewater,Semi-arid
Dordrecht,Europe,Netherlands,51.8188,4.665756,Bank filtration,River water,Humid
Nitata (Bhoja Kala),Asia,India,27.140253,76.201294,Check dam,River water,Humid
Salem,North America,USA,44.888739,-123.037606,Aquifer storage and recovery,River water,Humid
Hillsboro ASR System (HASR),North America,USA,26.355307,-80.295232,Aquifer storage and recovery,River water,Humid
Valle de Santiago/ Río del Maipo,South America,Chile,-33.45,-70.666667,Infiltration basin,River water,Semi-arid
Universidade Federal de São Carlos (UFSCar),South America,Brasil,-21.978339,-47.8805,Trenches,Storm water,Humid
Lake Duthernal,North America,USA,40.40359,-74.370753,Check dam,River water,Humid
EMBRAPA – Campo experimental da Caatinga BS-2,South America,Brasil,-9.068088,-40.32788,Subsurface Dam,River water,Semi-arid
Wanglong Farm 2,Asia,Taiwan,22.52619,120.619761,Infiltration basin,River water,Humid
Lagoa do Peri,South America,Brasil,-27.72639,-48.5119,Bank filtration,Lake water,Humid
"Haidian, Peking",Asia,China,39.966394,116.319983,Aquifer storage using wells,River water,Semi-arid
Capdenac-Gare,Europe,France,44.582,2.082,Bank filtration,River water,Humid
Foissac,Europe,France,44.51086704,2.00351198,Infiltration basin,River water,Humid
Muklan,Asia,India,29.068497,75.659481,Aquifer storage and recovery,Storm water,Semi-arid
Heel,Europe,Netherlands,51.1886,5.881119,Infiltration basin,River water,Humid
Tiel,Europe,Netherlands,51.89,5.435,Bank filtration,River water,Humid
Tongzhou,Asia,China,40.1139,116.713155,Surface flooding and ditch-and-furrow,River water,Semi-arid
La Mitidja Basins,Africa,Algeria,36.520013,3.065827,Infiltration basin,River water,Dry sub-humid
WW Flehe + WW Staad + WW Holthausen,Europe,Germany,51.295,6.73,Bank filtration,River water,Humid
Xi'an University of Science and Technology,Asia,China,34.226901,108.984051,Aquifer storage and recovery,River water,Humid
Sar-chahan,Asia,Iran,28.061395,55.877645,Surface flooding and ditch-and-furrow,River water,Semi-arid
Tonami (Yasukawa),Asia,Japan,36.625676,137.004001,Infiltration basin,River water,Humid
Corkscrew – 2 ASR wells (ASR-1 LM-3982; ASR-2 LM-4267),North America,USA,26.46339,-81.704603,Aquifer storage and recovery,Reclaimed wastewater,Humid
ASR Phase II site,North America,USA,32.775841,-79.941536,Aquifer storage and recovery,Reclaimed wastewater,Humid
Fairbairn Dam,Oceania,Australia,-23.6945582,147.9385056,Check dam,River water,Semi-arid
Thompson Creek Spreading Grounds,North America,USA,34.13933,-117.710946,Check dam,River water,Semi-arid
Ergste,Europe,Germany,51.46,7.63,Bank filtration,River water,Humid
Kaifeng,Asia,China,34.790017,114.275198,Aquifer storage using wells,Groundwater,Dry sub-humid
Valle Aconcagua Dren las Vegas,South America,Chile,-32.83676027,-71.01150513,Infiltration basin,River water,Semi-arid
"Defence Colony, Block C 486",Asia,India,28.568671,77.229407,Rooftop Rainwater Harvesting,Storm water,Humid
Nieuwe Marktstraat,Europe,Netherlands,51.847,5.855,Bank filtration,River water,Humid
Chikhalgaon,Asia,India,18.565496,73.576591,Check dam,River water,Humid
"Medical-Dental Bldg. - 4A2,3",North America,USA,45.518723,-122.684149,Aquifer storage and recovery,Groundwater,Humid
Varamin,Asia,Iran,35.399904,51.733348,Check dam,River water,Semi-arid
Gaobeidian WWTP,Asia,China,39.895632,116.526057,Infiltration basin,Reclaimed wastewater,Semi-arid
Aquífero Cauê – Área de influência Apolo,South America,Brasil,-7.78,-63.6,Infiltration basin,Storm water,Humid
N/A,Asia,China,34.186181,111.268567,Infiltration basin,River water,Dry sub-humid
Charles M. Bolton well field,North America,USA,39.318151,-84.620627,Bank filtration,River water,Humid
Ben Sergao,Africa,Morocco,30.333874,-9.596897,Infiltration basin,Reclaimed wastewater,Semi-arid
Oregonian Bldg. - 3E2,North America,USA,45.514848,-122.681874,Aquifer storage and recovery,Groundwater,Humid
Bangpoon,Asia,Thailand,13.999498,100.573651,Aquifer storage using wells,River water,Humid
Bazley Weir (Three Moon Creek),Oceania,Australia,-24.893695,151.123261,Check dam,River water,Dry sub-humid
5 Wang Zhuang Lu,Asia,China,39.99876,116.338755,Aquifer storage using wells,River water,Semi-arid
Jeffara Plain,Africa,Tunisia,33.423801,10.36589,Aquifer storage using wells,River water,Semi-arid
Ica-Villacuri-Lanchas,South America,Peru,-14.049871,-75.72967,Infiltration basin,River water,Semi-arid
Kitui District,Africa,Kenia,-1.46194,38.00394,Sand Storage Dams,Groundwater,Semi-arid
Fazenda Belmonte,South America,Brasil,-24.0493718,-48.883994,Subsurface Dam,River water,Humid
Sangapur,Asia,India,17.821119,78.658174,Check dam,River water,Dry sub-humid
Baker City,North America,USA,44.766666,-117.858341,Aquifer storage and recovery,River water,Semi-arid
"Equitable Bldg. – 34N3,4,5",North America,USA,45.520576,-122.67799,Aquifer storage and recovery,Groundwater,Humid
Kinchant Dam,Oceania,Australia,-21.1971234,148.893793,Check dam,River water,Humid
Namsong,Asia,Korea,34.57321,126.912159,Subsurface Dam,Groundwater,Humid
Barrett AR site,North America,USA,45.947697,-118.421937,Reverse Drainage,River water,Semi-arid
CE Caatinga BS IV,South America,Brasil,-6.803995,-37.959114,Subsurface Dam,River water,Dry sub-humid
Wabash River - Indiana–American Water Company,North America,USA,39.476635,-87.418028,Bank filtration,River water,Humid
Sri Aurobindo Ashram,Asia,India,28.539627,77.199708,Rooftop Rainwater Harvesting,Storm water,Humid
Deep run lagoon,North America,USA,40.385622,-74.309219,Infiltration basin,River water,Humid
Zhaoyuan,Asia,China,37.380946,120.345108,Aquifer storage and recovery,Groundwater,Dry sub-humid
river Oja,Europe,Spain,42.57,-2.91,Infiltration basin,River water,Humid
Declez Basin,North America,USA,34.031898,-117.500702,Infiltration basin,Storm water,Semi-arid
Gully Winds,Oceania,Australia,-34.568604,138.7540464,Aquifer storage and recovery,River water,Semi-arid
Rayal Cheruvu area,Asia,India,13.5078,79.375606,Check dam,River water,Humid
Xi'an,Asia,China,34.180459,108.92807,Aquifer storage using wells,Reclaimed wastewater,Dry sub-humid
Grand Strand Water and Sewer Authority,North America,USA,33.782414,-79.024041,Aquifer storage and recovery,River water,Humid
Sítio Estação Ecológica UFMG,South America,Brasil,-19.88307,-43.975012,Trenches,Storm water,Humid
C. Rodenhuis,Europe,Netherlands,51.936,4.775,Bank filtration,River water,Humid
Nieuwegein,Europe,Netherlands,52.032,5.094,Aquifer storage and recovery,River water,Humid
Shuanghuayuan Community,Asia,China,39.897832,116.447768,Rooftop Rainwater Harvesting,Storm water,Semi-arid
Do?sebacke,Europe,Sweden,56.6735,16.3169,Infiltration basin,River water,Humid
Ixtapaluca (Parque Ejidal los Depósitos),North America,Mexico,19.324525,-98.843104,Infiltration basin,Storm water,Dry sub-humid
Lalpura (Koda Wala),Asia,India,27.264041,76.163959,Check dam,River water,Humid
Fazenda Baixa Verde,South America,Brasil,-8.916656,-44.7091,Subsurface Dam,River water,Humid
Bo?ckinger Wiesen,Europe,Germany,49.129,9.165,Infiltration basin,Lake water,Humid
Makauri Aquifer Managed Aquifer Recharge Trial,Oceania,New Zealand,-38.61044,177.9196,Aquifer storage and recovery,River water,Humid
Blagnac,Europe,France,43.63602113,1.389836355,Infiltration basin,River water,Humid
Schmarsow,Europe,Germany,53.47,13.929,Bank filtration,River water,Humid
Ja?niksenlinna,Europe,Finland,60.49,24.965,Infiltration basin,Lake water,Humid
Rusutja?rvi,Europe,Finland,60.433,24.982,Excess Irrigation,Lake water,Humid
Tiefwerder,Europe,Germany,52.52,13.22,Bank filtration,River water,Humid
Riku,Europe,Finland,61.464,24.072,Bank filtration,River water,Humid
Wohushan Reservoir,Asia,China,36.490536,116.960339,Check dam,River water,Dry sub-humid
Achiras del Gato,South America,Argentina,-31.4062,-64.1803,Barriers and Bunds,River water,Dry sub-humid
Oakes - Large Recharge Test Basin,North America,USA,46.126103,-98.094266,Infiltration basin,River water,Dry sub-humid
Eksjo?,Europe,Sweden,57.66,14.995,Infiltration basin,Lake water,Humid
Samorin,Europe,Slovakia,48.03218,17.31445,Bank filtration,River water,Humid
Abu Rawash,Africa,Egypt,29.677871,31.236138,Infiltration basin,Reclaimed wastewater,Hyper-arid
Oakes – recharge test 1 & 2,North America,USA,46.126103,-98.094266,Infiltration basin,River water,Dry sub-humid
HuaiHai Lu DongDuan,Asia,China,31.224633,121.479031,Aquifer storage and recovery,Groundwater,Humid
Fazenda Rompe,South America,Brasil,-11.46667,-40.2333,Subsurface Dam,River water,Dry sub-humid
Leiduin IP1-2,Europe,Netherlands,52,5,Aquifer storage and recovery,River water,Humid
"Bayizhen,",Asia,China,41.618709,123.297754,Infiltration basin,Storm water,Dry sub-humid
Guangrao Xian,Asia,China,37.034389,118.435146,Subsurface Dam,River water,Dry sub-humid
Sayreville Ponds 1 & 2,North America,USA,40.437961,-74.335887,Infiltration basin,Storm water,Humid
Louisville Riverbank Filtration,North America,USA,38.35937,-85.62856,Bank filtration,River water,Humid
Edwards Aquifer Authority Recharge Program,North America,USA,29.468326,-98.516913,Check dam,River water,Dry sub-humid
CE Caatinga BS II,South America,Brasil,-7.803995,-38.959114,Subsurface Dam,River water,Dry sub-humid
Edinburgh Park South,Oceania,Australia,-34.707798,138.650778,Aquifer storage and recovery,Storm water,Semi-arid
Ijsselstein,Europe,Netherlands,52.02166,5.040665,Bank filtration,River water,Humid
Siegniederung,Europe,Germany,50.8,7.207,Bank filtration,River water,Humid
City of North Las Vegas,North America,USA,36.244993,-115.110595,Aquifer storage and recovery,Lake water,Semi-arid
Mulgildie Weir (Three Moon Creek),Oceania,Australia,-25.0189,151.092984,Check dam,River water,Dry sub-humid
N/A,Asia,China,40.073906,109.80943,Infiltration basin,Reclaimed wastewater,Semi-arid
Carpendale Weir  (Lockyer Valley),Oceania,Australia,-27.571747,152.156704,Check dam,River water,Humid
Ketwig,Europe,Germany,51.364,6.929,Infiltration basin,River water,Humid
Southern Avra Valley Storage and Recovery Project (SAVSARP),North America,USA,32.176115,-111.224246,Infiltration basin,River water,Dry sub-humid
Sokh aquifer,Asia,Uzbekistan,40.3106,71.032182,Check dam,River water,Semi-arid
Oued Besbes,Africa,Algeria,34.900454,5.756197,Aquifer storage using wells,River water,Semi-arid
ETE Ponta Negra,South America,Brasil,-5.898202,-35.178925,Surface flooding and ditch-and-furrow,Reclaimed wastewater,Dry sub-humid
Leersum,Europe,Netherlands,52.012,5.429,Bank filtration,River water,Humid
Etiwanda Spreading Area (Joint Use of Etiwanda Debris Basin),North America,USA,34.152802,-117.508836,Infiltration basin,Storm water,Semi-arid
Sítio Tanquinho,South America,Brasil,-25.078805,-49.270172,Subsurface Dam,River water,Humid
Hitdorf + WW Süd,Europe,Germany,51.044,6.987,Bank filtration,River water,Humid
N/A,Asia,China,31.187215,121.361352,Rooftop Rainwater Harvesting,Storm water,Humid
Hazerswoude,Europe,Netherlands,61.00975,28.18268,Bank filtration,River water,Humid
Kale Zardabe,Asia,Iran,36.900281,55.474394,Surface flooding and ditch-and-furrow,Storm water,Semi-arid
Toushka Khoure,Africa,Egypt,22.4222222,31.62777777,Infiltration basin,River water,Hyper-arid
Victor Valley Water District,North America,USA,34.529969,-117.296367,Aquifer storage and recovery,River water,Semi-arid
Xi'an Engineering Technology College,Asia,China,34.251779,108.993197,Aquifer storage and recovery,River water,Humid
Jianye,Asia,China,32.031431,118.706239,Aquifer storage using wells,Groundwater,Humid
Los Sotillos,Europe,Spain,36.84,-5.83,Aquifer storage using wells,River water,Dry sub-humid
Mirrabooka,Oceania,Australia,-31.8456061,115.8444068,Aquifer storage and recovery,Groundwater,Dry sub-humid
Sant Vicenc? dels Horts,Europe,Spain,43.38,2.02,Infiltration basin,River water,Humid
Michael Okpara University of Agriculture,Africa,Nigeria,5.480602,7.545783,Aquifer storage using wells,Storm water,Humid
Dongling,Asia,China,41.713939,123.454993,Infiltration basin,Storm water,Dry sub-humid
Área da Agrishow,South America,Brasil,-9.803995,-40.959114,Subsurface Dam,River water,Semi-arid
Stammheim Nord / Süd,Europe,Germany,48.844,9.151,Bank filtration,River water,Humid
Ridge Park,Oceania,Australia,-34.9603666,138.640454,Aquifer storage and recovery,Storm water,Semi-arid
Sítio Parque Lagoa do Nado (1 e 2),South America,Brasil,-19.84175,-43.956758,Trenches,Storm water,Humid
Lagoa de Infiltração Cidade Jardim,South America,Brasil,-5.846633,-35.202974,Infiltration basin,Storm water,Dry sub-humid
Sliedrecht,Europe,Netherlands,51.825,4.773,Bank filtration,River water,Humid
Avis Weir (Three Moon Creek),Oceania,Australia,-24.979351,151.123473,Check dam,River water,Dry sub-humid
Bonneville Power Administration,North America,USA,47.922272,-122.097433,Aquifer storage using wells,Groundwater,Humid
City of Yakima,North America,USA,46.599605,-120.526976,Aquifer storage and recovery,River water,Dry sub-humid
Ujecie Polnoc,Europe,Poland,52.23,21.01,Bank filtration,Lake water,Humid
Garzweiler,Europe,Germany,51.17,6.44,Aquifer storage and recovery,Groundwater,Humid
Shanghai NO.21 cotton mill,Asia,China,31.253066,121.523593,Aquifer storage and recovery,River water,Humid
Nuestra Señora de Fátima,South America,Argentina,-30.35154626,-66.32171631,Check dam,Storm water,Semi-arid
Brenta Ramp,Europe,Italy,45.7214,11.6934,Subsurface Dam,River water,Humid
Pima Mine Road Recharge Project (PMRRP),North America,USA,32.016369,-110.958278,Infiltration basin,River water,Dry sub-humid
Wang He Zhuang Zi Cun,Asia,China,37.241307,120.172658,Subsurface Dam,River water,Dry sub-humid
Budhshelly,Asia,India,28.811682,75.578256,Aquifer storage and recovery,Storm water,Semi-arid
West Well Field,North America,USA,25.739801,-80.461394,Aquifer storage and recovery,Groundwater,Humid
Scottsdale Water Campus,North America,USA,33.659395,-111.892772,Aquifer storage and recovery,Reclaimed wastewater,Semi-arid
Lu?bbenau,Europe,Germany,51.868,13.932,Bank filtration,River water,Humid
Sítio Santo Antônio – Distrito de Capim,South America,Brasil,-9.8731,-40.23717,Subsurface Dam,River water,Semi-arid
Oakes – Small Recharge Test Basin,North America,USA,46.125,-98.093011,Infiltration basin,River water,Dry sub-humid
